mach,alpha,cd,cl,cm
0.34,-0.13,0.0078,0.072,0.0002
0.34,3.42,0.0085,0.512,-0.0008
0.34,7.07,0.0103,0.960,-0.0006
0.34,8.88,0.0103,1.179,0.0001
0.34,10.62,0.0122,1.378,0.0028
0.34,11.56,0.0149,1.476,0.0048
0.34,12.41,0.0158,1.556,0.0066
0.44,-0.89,0.0067,-0.022,-0.0012
0.44,-0.10,0.0075,0.079,-0.0016
0.44,3.41,0.0076,0.518,-0.0026
0.44,6.95,0.0096,0.976,-0.0002
0.44,8.70,0.0108,1.164,0.0036
0.44,10.63,0.0233,1.309,0.0124
0.44,11.72,0.0403,1.336,0.0122
0.49,-1.05,0.0067,-0.039,-0.0020
0.49,-0.08,0.0074,0.089,-0.0022
0.49,3.41,0.0078,0.534,-0.0023
0.49,6.97,0.0111,0.983,0.0039
0.49,7.87,0.0160,1.077,0.0082
0.49,8.83,0.0218,1.158,0.0116
0.49,9.77,0.0392,1.178,0.0089
0.54,-0.10,0.0072,0.093,-0.0027
0.54,3.32,0.0081,0.540,-0.0021
0.54,5.07,0.0095,0.774,0.0007
0.54,6.83,0.0204,0.975,0.0100
0.54,7.90,0.0352,1.054,0.0104
0.54,8.81,0.0490,1.086,0.0076
0.59,-0.93,0.0070,-0.017,-0.0038
0.59,-0.08,0.0073,0.096,-0.0034
0.59,1.70,0.0070,0.332,-0.0037
0.59,3.41,0.0081,0.577,-0.0001
0.59,5.25,0.0175,0.771,0.0035
0.59,6.23,0.0277,0.884,0.0082
0.59,7.06,0.0421,0.942,0.0090
