mach,alpha,cd,cl
0.00,-3.65,0.00749,-0.3705
0.00,-2.74,0.00661,-0.2694
0.00,-1.80,0.00615,-0.1644
0.00,-1.04,0.00568,-0.0691
0.00,-0.12,0.00783,0.0298
0.00,-0.09,0.00649,0.0336
0.00,1.84,0.00543,0.2495
0.00,3.51,0.00588,0.4409
0.00,5.29,0.00797,0.6379
0.00,6.11,0.00905,0.7334
0.00,6.99,0.00987,0.8205
0.00,7.85,0.01207,0.8962
0.00,8.84,0.01250,1.0028
0.00,9.65,0.01364,1.0395
0.00,10.68,0.02728,1.0648
0.10,-3.65,0.00749,-0.3705
0.10,-2.74,0.00661,-0.2694
0.10,-1.80,0.00615,-0.1644
0.10,-1.04,0.00568,-0.0691
0.10,-0.12,0.00783,0.0298
0.10,-0.09,0.00649,0.0336
0.10,1.84,0.00543,0.2495
0.10,3.51,0.00588,0.4409
0.10,5.29,0.00797,0.6379
0.10,6.11,0.00905,0.7334
0.10,6.99,0.00987,0.8205
0.10,7.85,0.01207,0.8962
0.10,8.84,0.01250,1.0028
0.10,9.65,0.01364,1.0395
0.10,10.68,0.02728,1.0648
0.20,-3.65,0.00749,-0.3705
0.20,-2.74,0.00661,-0.2694
0.20,-1.80,0.00615,-0.1644
0.20,-1.04,0.00568,-0.0691
0.20,-0.12,0.00783,0.0298
0.20,-0.09,0.00649,0.0336
0.20,1.84,0.00543,0.2495
0.20,3.51,0.00588,0.4409
0.20,5.29,0.00797,0.6379
0.20,6.11,0.00905,0.7334
0.20,6.99,0.00987,0.8205
0.20,7.85,0.01207,0.8962
0.20,8.84,0.01250,1.0028
0.20,9.65,0.01364,1.0395
0.20,10.68,0.02728,1.0648
0.30,-3.65,0.00749,-0.3705
0.30,-2.74,0.00661,-0.2694
0.30,-1.80,0.00615,-0.1644
0.30,-1.04,0.00568,-0.0691
0.30,-0.12,0.00783,0.0298
0.30,-0.09,0.00649,0.0336
0.30,1.84,0.00543,0.2495
0.30,3.51,0.00588,0.4409
0.30,5.29,0.00797,0.6379
0.30,6.11,0.00905,0.7334
0.30,6.99,0.00987,0.8205
0.30,7.85,0.01207,0.8962
0.30,8.84,0.01250,1.0028
0.30,9.65,0.01364,1.0395
0.30,10.68,0.02728,1.0648
0.37,-3.65,0.00749,-0.3705
